table,pct,ms
clustered_data , 1 , 275
clustered_data , 2 , 737
clustered_data , 5 , 1900
clustered_data , 8 , 3100
clustered_data , 10 , 4000
clustered_data , 12 , 4700
clustered_data , 15 , 5800
clustered_data , 18 , 653
clustered_data , 20 , 672
clustered_data@clustered_data_i1 , 1 , 283
clustered_data@clustered_data_i1 , 2 , 789
clustered_data@clustered_data_i1 , 5 , 2000
clustered_data@clustered_data_i1 , 8 , 3100
clustered_data@clustered_data_i1 , 10 , 4000
clustered_data@clustered_data_i1 , 12 , 4600
clustered_data@clustered_data_i1 , 15 , 5700
clustered_data@clustered_data_i1 , 18 , 7100
clustered_data@clustered_data_i1 , 20 , 7700
clustered_data@primary , 1 , 686
clustered_data@primary , 2 , 670
clustered_data@primary , 5 , 645
clustered_data@primary , 8 , 673
clustered_data@primary , 10 , 645
clustered_data@primary , 12 , 647
clustered_data@primary , 15 , 635
clustered_data@primary , 18 , 647
clustered_data@primary , 20 , 644
