table,dayFilter,estRows,estPct,execTime
timeseries_data,0.5,754,0.14,119
timeseries_data,1,1,0.28,119
timeseries_data,2,2,0.56,224
timeseries_data,3,4,0.81,352
timeseries_data,4,5,1.1,619
timeseries_data,5,7,1.3,643
timeseries_data,5,7,1.3,550
timeseries_data,7,10,2,879
timeseries_data,8,11,2.3,914
timeseries_data,9,13,2.6,939
timeseries_data,10,14,2.8,1000
timeseries_data,12,17,3.4,1200
timeseries_data,14,20,3.9,1500
timeseries_data,16,23,4.4,1800
timeseries_data,18,25,4.9,2200
timeseries_data,20,28,5.5,2000
timeseries_data,30,43,8.3,3100
timeseries_data,40,59,11,4200
timeseries_data,90,525,100,820
timeseries_data,180,525,100,896
timeseries_data,270,525,100,821
timeseries_data,360,525,100,751
timeseries_data@primary,0.5,525,100,727
timeseries_data@primary,1,525,100,731
timeseries_data@primary,2,525,100,719
timeseries_data@primary,3,525,100,789
timeseries_data@primary,4,525,100,1100
timeseries_data@primary,5,525,100,860
timeseries_data@primary,5,525,100,852
timeseries_data@primary,7,525,100,807
timeseries_data@primary,8,525,100,898
timeseries_data@primary,9,525,100,871
timeseries_data@primary,10,525,100,744
timeseries_data@primary,12,525,100,733
timeseries_data@primary,14,525,100,793
timeseries_data@primary,16,525,100,779
timeseries_data@primary,18,525,100,729
timeseries_data@primary,20,525,100,776
timeseries_data@primary,30,525,100,942
timeseries_data@primary,40,525,100,884
timeseries_data@primary,90,525,100,849
timeseries_data@primary,180,525,100,947
timeseries_data@primary,270,525,100,930
timeseries_data@primary,360,525,100,1000
timeseries_data@timeseries_timestamp_i1,0.5,705,0.13,195
timeseries_data@timeseries_timestamp_i1,1,1,0.27,152
timeseries_data@timeseries_timestamp_i1,2,2,0.55,252
timeseries_data@timeseries_timestamp_i1,3,4,0.82,335
timeseries_data@timeseries_timestamp_i1,4,5,1.1,580
timeseries_data@timeseries_timestamp_i1,5,7,1.4,648
timeseries_data@timeseries_timestamp_i1,5,7,1.4,723
timeseries_data@timeseries_timestamp_i1,7,10,1.9,854
timeseries_data@timeseries_timestamp_i1,8,11,2.2,966
timeseries_data@timeseries_timestamp_i1,9,12,2.5,1300
timeseries_data@timeseries_timestamp_i1,10,14,2.7,1200
timeseries_data@timeseries_timestamp_i1,12,17,3.3,1300
timeseries_data@timeseries_timestamp_i1,14,20,3.8,1600
timeseries_data@timeseries_timestamp_i1,16,23,4.4,1900
timeseries_data@timeseries_timestamp_i1,18,25,4.9,2000
timeseries_data@timeseries_timestamp_i1,20,28,5.5,2400
timeseries_data@timeseries_timestamp_i1,30,43,8.2,3300
timeseries_data@timeseries_timestamp_i1,40,57,11,4400
timeseries_data@timeseries_timestamp_i1,90,129,25,8900
timeseries_data@timeseries_timestamp_i1,180,259,49,15000
timeseries_data@timeseries_timestamp_i1,270,386,73,20500
timeseries_data@timeseries_timestamp_i1,360,518,99,26700
timeseries_data@timeseries_covering,0.5,833,0.16,5
timeseries_data@timeseries_covering,1,1,0.31,3
timeseries_data@timeseries_covering,2,3,0.61,5
timeseries_data@timeseries_covering,3,4,0.9,5
timeseries_data@timeseries_covering,4,6,1.2,6
timeseries_data@timeseries_covering,5,7,1.4,6
timeseries_data@timeseries_covering,5,7,1.4,8
timeseries_data@timeseries_covering,7,10,1.9,11
timeseries_data@timeseries_covering,8,11,2.2,12
timeseries_data@timeseries_covering,9,12,2.4,14
timeseries_data@timeseries_covering,10,14,2.7,15
timeseries_data@timeseries_covering,12,17,3.2,15
timeseries_data@timeseries_covering,14,20,3.8,19
timeseries_data@timeseries_covering,16,23,4.4,19
timeseries_data@timeseries_covering,18,26,5,25
timeseries_data@timeseries_covering,20,29,5.6,37
timeseries_data@timeseries_covering,30,43,8.2,48
timeseries_data@timeseries_covering,40,57,11,65
timeseries_data@timeseries_covering,90,131,25,147
timeseries_data@timeseries_covering,180,257,49,243
timeseries_data@timeseries_covering,270,386,73,404
timeseries_data@timeseries_covering,360,518,99,570
