table,dayFilter,estRows,estPct,execTime
timeseries_data,0.5,817,0.16,64
timeseries_data,1,1,0.31,91
timeseries_data,2,3,0.58,198
timeseries_data,3,4,0.77,243
timeseries_data,4,5,0.96,378
timeseries_data,5,6,1.2,452
timeseries_data,5,6,1.2,469
timeseries_data,7,8,1.6,579
timeseries_data,8,9,1.8,672
timeseries_data,9,11,2.1,781
timeseries_data,10,12,2.4,800
timeseries_data,12,15,3,1100
timeseries_data,14,18,3.5,1300
timeseries_data,16,20,4,1300
timeseries_data,18,23,4.6,1400
timeseries_data,20,27,5.2,1500
timeseries_data,30,41,7.9,2400
timeseries_data,40,54,10,3400
timeseries_data,90,525,100,682
timeseries_data,180,525,100,631
timeseries_data@primary,0.5,525,100,628
timeseries_data@primary,1,525,100,633
timeseries_data@primary,2,525,100,682
timeseries_data@primary,3,525,100,655
timeseries_data@primary,4,525,100,617
timeseries_data@primary,5,525,100,614
timeseries_data@primary,5,525,100,688
timeseries_data@primary,7,525,100,662
timeseries_data@primary,8,525,100,620
timeseries_data@primary,9,525,100,672
timeseries_data@primary,10,525,100,748
timeseries_data@primary,12,525,100,787
timeseries_data@primary,14,525,100,876
timeseries_data@primary,16,525,100,874
timeseries_data@primary,18,525,100,903
timeseries_data@primary,20,525,100,881
timeseries_data@primary,30,525,100,786
timeseries_data@primary,40,525,100,824
timeseries_data@primary,90,525,100,803
timeseries_data@primary,180,525,100,701
timeseries_data@timeseries_timestamp_i1,0.5,817,0.16,171
timeseries_data@timeseries_timestamp_i1,1,1,0.31,92
timeseries_data@timeseries_timestamp_i1,2,3,0.58,175
timeseries_data@timeseries_timestamp_i1,3,4,0.77,309
timeseries_data@timeseries_timestamp_i1,4,5,0.96,423
timeseries_data@timeseries_timestamp_i1,5,6,1.2,484
timeseries_data@timeseries_timestamp_i1,5,6,1.2,415
timeseries_data@timeseries_timestamp_i1,7,8,1.6,749
timeseries_data@timeseries_timestamp_i1,8,9,1.8,727
timeseries_data@timeseries_timestamp_i1,9,11,2.1,829
timeseries_data@timeseries_timestamp_i1,10,12,2.4,820
timeseries_data@timeseries_timestamp_i1,12,15,3,990
timeseries_data@timeseries_timestamp_i1,14,18,3.5,1100
timeseries_data@timeseries_timestamp_i1,16,20,4,1200
timeseries_data@timeseries_timestamp_i1,18,23,4.6,1400
timeseries_data@timeseries_timestamp_i1,20,27,5.2,1600
timeseries_data@timeseries_timestamp_i1,30,41,7.9,2500
timeseries_data@timeseries_timestamp_i1,40,54,10,3300
timeseries_data@timeseries_timestamp_i1,90,127,24,6300
timeseries_data@timeseries_timestamp_i1,180,258,49,11500
timeseries_data@timeseries_covering,0.5,731,0.14,2
timeseries_data@timeseries_covering,1,1,0.28,3
timeseries_data@timeseries_covering,2,3,0.57,4
timeseries_data@timeseries_covering,3,4,0.89,5
timeseries_data@timeseries_covering,4,6,1.2,6
timeseries_data@timeseries_covering,5,7,1.4,6
timeseries_data@timeseries_covering,5,7,1.4,7
timeseries_data@timeseries_covering,7,10,1.9,9
timeseries_data@timeseries_covering,8,11,2.2,12
timeseries_data@timeseries_covering,9,13,2.5,11
timeseries_data@timeseries_covering,10,14,2.8,14
timeseries_data@timeseries_covering,12,17,3.4,15
timeseries_data@timeseries_covering,14,20,3.9,17
timeseries_data@timeseries_covering,16,23,4.5,21
timeseries_data@timeseries_covering,18,27,5.2,19
timeseries_data@timeseries_covering,20,30,5.9,26
timeseries_data@timeseries_covering,30,46,8.9,35
timeseries_data@timeseries_covering,40,60,12,49
timeseries_data@timeseries_covering,90,131,25,105
timeseries_data@timeseries_covering,180,258,49,383
